[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /api/health               --> fractal-engine/internal/api.(*Handler).Health-fm (4 handlers)
[GIN-debug] GET    /api/ready                --> fractal-engine/internal/api.(*Handler).Ready-fm (4 handlers)
[GIN-debug] GET    /api/info                 --> fractal-engine/internal/api.(*Handler).Info-fm (4 handlers)
[GIN-debug] GET    /api/status               --> fractal-engine/internal/api.(*Handler).Status-fm (4 handlers)
[GIN-debug] GET    /api/load/cpu             --> fractal-engine/internal/api.(*Handler).CPULoad-fm (4 handlers)
[GIN-debug] GET    /api/load/latency         --> fractal-engine/internal/api.(*Handler).LatencyLoad-fm (4 handlers)
[GIN-debug] GET    /api/load/mixed           --> fractal-engine/internal/api.(*Handler).MixedLoad-fm (4 handlers)
[GIN-debug] GET    /                         --> fractal-engine/internal/api.NewRouter.func1 (4 handlers)
time=2026-04-18T02:26:47.731+03:00 level=INFO msg="request completed" request_id=req-000031 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.746+03:00 level=INFO msg="request completed" request_id=req-000032 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.749+03:00 level=INFO msg="request completed" request_id=req-000033 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.771+03:00 level=INFO msg="request completed" request_id=req-000034 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.772+03:00 level=INFO msg="request completed" request_id=req-000035 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.774+03:00 level=INFO msg="request completed" request_id=req-000036 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.789+03:00 level=INFO msg="request completed" request_id=req-000037 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.795+03:00 level=INFO msg="request completed" request_id=req-000038 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.809+03:00 level=INFO msg="request completed" request_id=req-000039 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.820+03:00 level=INFO msg="request completed" request_id=req-000040 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.830+03:00 level=INFO msg="request completed" request_id=req-000041 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.843+03:00 level=INFO msg="request completed" request_id=req-000042 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.844+03:00 level=INFO msg="request completed" request_id=req-000043 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.860+03:00 level=INFO msg="request completed" request_id=req-000044 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.873+03:00 level=INFO msg="request completed" request_id=req-000045 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.873+03:00 level=INFO msg="request completed" request_id=req-000046 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.880+03:00 level=INFO msg="request completed" request_id=req-000047 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.913+03:00 level=INFO msg="request completed" request_id=req-000048 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.913+03:00 level=INFO msg="request completed" request_id=req-000049 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.970+03:00 level=INFO msg="request completed" request_id=req-000050 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.982+03:00 level=INFO msg="request completed" request_id=req-000051 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.003+03:00 level=INFO msg="request completed" request_id=req-000052 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.004+03:00 level=INFO msg="request completed" request_id=req-000053 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.004+03:00 level=INFO msg="request completed" request_id=req-000054 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.025+03:00 level=INFO msg="request completed" request_id=req-000055 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.025+03:00 level=INFO msg="request completed" request_id=req-000056 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.028+03:00 level=INFO msg="request completed" request_id=req-000057 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.042+03:00 level=INFO msg="request completed" request_id=req-000058 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.042+03:00 level=INFO msg="request completed" request_id=req-000059 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.042+03:00 level=INFO msg="request completed" request_id=req-000060 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.048+03:00 level=INFO msg="request completed" request_id=req-000061 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.048+03:00 level=INFO msg="request completed" request_id=req-000062 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.051+03:00 level=INFO msg="request completed" request_id=req-000063 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.113+03:00 level=INFO msg="request completed" request_id=req-000064 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.114+03:00 level=INFO msg="request completed" request_id=req-000065 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.115+03:00 level=INFO msg="request completed" request_id=req-000066 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.142+03:00 level=INFO msg="request completed" request_id=req-000067 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.143+03:00 level=INFO msg="request completed" request_id=req-000068 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.152+03:00 level=INFO msg="request completed" request_id=req-000069 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.225+03:00 level=INFO msg="request completed" request_id=req-000070 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.227+03:00 level=INFO msg="request completed" request_id=req-000071 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.228+03:00 level=INFO msg="request completed" request_id=req-000072 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.231+03:00 level=INFO msg="request completed" request_id=req-000074 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.231+03:00 level=INFO msg="request completed" request_id=req-000076 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.231+03:00 level=INFO msg="request completed" request_id=req-000073 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.231+03:00 level=INFO msg="request completed" request_id=req-000075 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.231+03:00 level=INFO msg="request completed" request_id=req-000077 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.233+03:00 level=INFO msg="request completed" request_id=req-000078 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.286+03:00 level=INFO msg="request completed" request_id=req-000079 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.403+03:00 level=INFO msg="request completed" request_id=req-000080 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.404+03:00 level=INFO msg="request completed" request_id=req-000081 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.426+03:00 level=INFO msg="request completed" request_id=req-000082 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.454+03:00 level=INFO msg="request completed" request_id=req-000083 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.454+03:00 level=INFO msg="request completed" request_id=req-000084 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.455+03:00 level=INFO msg="request completed" request_id=req-000085 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.455+03:00 level=INFO msg="request completed" request_id=req-000086 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.457+03:00 level=INFO msg="request completed" request_id=req-000087 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.458+03:00 level=INFO msg="request completed" request_id=req-000088 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.460+03:00 level=INFO msg="request completed" request_id=req-000089 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.460+03:00 level=INFO msg="request completed" request_id=req-000091 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.460+03:00 level=INFO msg="request completed" request_id=req-000090 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.529+03:00 level=INFO msg="request completed" request_id=req-000092 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.529+03:00 level=INFO msg="request completed" request_id=req-000093 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.532+03:00 level=INFO msg="request completed" request_id=req-000094 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.532+03:00 level=INFO msg="request completed" request_id=req-000095 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.534+03:00 level=INFO msg="request completed" request_id=req-000096 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.557+03:00 level=INFO msg="request completed" request_id=req-000097 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.569+03:00 level=INFO msg="request completed" request_id=req-000098 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.579+03:00 level=INFO msg="request completed" request_id=req-000099 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.585+03:00 level=INFO msg="request completed" request_id=req-000100 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.603+03:00 level=INFO msg="request completed" request_id=req-000101 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.635+03:00 level=INFO msg="request completed" request_id=req-000102 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.636+03:00 level=INFO msg="request completed" request_id=req-000103 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.652+03:00 level=INFO msg="request completed" request_id=req-000104 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.653+03:00 level=INFO msg="request completed" request_id=req-000105 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.653+03:00 level=INFO msg="request completed" request_id=req-000106 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.655+03:00 level=INFO msg="request completed" request_id=req-000107 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.655+03:00 level=INFO msg="request completed" request_id=req-000108 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.656+03:00 level=INFO msg="request completed" request_id=req-000110 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.656+03:00 level=INFO msg="request completed" request_id=req-000109 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.671+03:00 level=INFO msg="request completed" request_id=req-000111 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:48.684+03:00 level=INFO msg="request completed" request_id=req-000112 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.834+03:00 level=INFO msg="request completed" request_id=req-000113 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.837+03:00 level=INFO msg="request completed" request_id=req-000114 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.838+03:00 level=INFO msg="request completed" request_id=req-000115 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.838+03:00 level=INFO msg="request completed" request_id=req-000116 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.839+03:00 level=INFO msg="request completed" request_id=req-000117 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.840+03:00 level=INFO msg="request completed" request_id=req-000118 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.842+03:00 level=INFO msg="request completed" request_id=req-000119 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.842+03:00 level=INFO msg="request completed" request_id=req-000120 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.843+03:00 level=INFO msg="request completed" request_id=req-000121 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.845+03:00 level=INFO msg="request completed" request_id=req-000122 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.846+03:00 level=INFO msg="request completed" request_id=req-000123 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.846+03:00 level=INFO msg="request completed" request_id=req-000124 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.846+03:00 level=INFO msg="request completed" request_id=req-000125 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.847+03:00 level=INFO msg="request completed" request_id=req-000126 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.847+03:00 level=INFO msg="request completed" request_id=req-000127 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.885+03:00 level=INFO msg="request completed" request_id=req-000128 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:50.920+03:00 level=INFO msg="request completed" request_id=req-000129 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.010+03:00 level=INFO msg="request completed" request_id=req-000130 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.033+03:00 level=INFO msg="request completed" request_id=req-000131 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.034+03:00 level=INFO msg="request completed" request_id=req-000132 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.034+03:00 level=INFO msg="request completed" request_id=req-000133 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.035+03:00 level=INFO msg="request completed" request_id=req-000134 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.035+03:00 level=INFO msg="request completed" request_id=req-000135 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.037+03:00 level=INFO msg="request completed" request_id=req-000137 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.037+03:00 level=INFO msg="request completed" request_id=req-000136 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:51.037+03:00 level=INFO msg="request completed" request_id=req-000138 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
